product_id,ordered_at,quantity_ordered
4085861,9/11/2018 12:47,1
4085861,9/17/2018 10:18,1
4085861,9/11/2018 19:57,1
4085861,9/17/2018 10:14,1
4085861,9/11/2018 18:13,1
4085861,9/17/2018 23:13,1
4085861,9/17/2018 11:51,1
4085861,9/11/2018 11:47,2
4085861,9/11/2018 20:52,1
4085861,9/17/2018 10:53,1
4085861,9/17/2018 14:14,1
4085861,9/17/2018 12:39,1
4085861,9/11/2018 11:34,1
4085861,9/11/2018 11:06,1
4085861,9/11/2018 22:26,1
4085861,9/17/2018 17:25,1
4085861,9/11/2018 16:48,1
4085861,9/17/2018 10:38,1
4085861,9/17/2018 10:49,1
4085861,9/17/2018 22:18,1
4085861,9/17/2018 21:48,1
4085861,9/11/2018 16:59,1
4085861,9/17/2018 16:52,1
4085861,9/11/2018 9:30,1
4085861,9/11/2018 22:14,1
4085861,9/17/2018 20:39,1
4085861,9/17/2018 7:56,1
4085861,9/17/2018 15:05,1
4085861,9/17/2018 22:22,1
4085861,9/12/2018 21:43,1
4085861,9/12/2018 7:30,1
4085861,9/12/2018 13:45,1
4085861,9/12/2018 11:29,1
4085861,9/12/2018 20:17,1
4085861,9/12/2018 20:32,1
4085861,9/12/2018 12:04,1
4085861,9/12/2018 11:10,1
4085861,9/12/2018 15:34,1
4085861,9/12/2018 11:18,1
4085861,9/12/2018 17:55,1
4085861,9/12/2018 17:24,1
4085861,9/12/2018 13:03,1
4085861,9/14/2018 14:50,1
4085861,9/14/2018 15:38,1
4085861,9/13/2018 12:56,1
4085861,9/13/2018 21:08,1
4085861,9/13/2018 8:12,1
4085861,9/13/2018 8:05,1
4085861,9/13/2018 11:52,1
4085861,9/13/2018 17:42,1
4085861,9/14/2018 22:29,1
4085861,9/14/2018 7:30,1
4085861,9/14/2018 9:19,1
4085861,9/13/2018 19:01,1
4085861,9/14/2018 20:00,1
4085861,9/13/2018 16:33,1
4085861,9/14/2018 19:32,1
4085861,9/13/2018 14:56,1
4085861,9/14/2018 12:34,1
4085861,9/13/2018 14:22,1
4085861,9/13/2018 22:05,1
4085861,9/13/2018 19:07,1
4085861,9/13/2018 11:57,1
4085861,9/14/2018 18:04,1
4085861,9/14/2018 19:02,1
4085861,9/14/2018 9:56,1
4085861,9/13/2018 19:03,1
4085861,9/13/2018 19:24,1
4085861,9/14/2018 13:17,1
4085861,9/13/2018 11:55,1
4085861,9/13/2018 23:29,1
64,9/11/2018 19:32,1
64,9/14/2018 20:10,1
64,9/12/2018 16:00,1
64,9/12/2018 13:23,1
